State,District,Disease,Year,Week,Cases,Deaths
Maharashtra,Pune,Dengue,2018,48,58,0
Maharashtra,Pune,Dengue,2018,49,67,0
Maharashtra,Pune,Dengue,2018,50,47,0
Maharashtra,Pune,Dengue,2018,51,40,0
Maharashtra,Pune,Dengue,2018,52,53,0
Maharashtra,Pune,Dengue,2019,1,32,0
Maharashtra,Pune,Dengue,2019,2,29,0
Maharashtra,Pune,Dengue,2019,3,29,1
Maharashtra,Pune,Dengue,2019,4,28,0
Maharashtra,Pune,Dengue,2019,5,22,0
Maharashtra,Pune,Dengue,2019,6,8,0
Maharashtra,Pune,Dengue,2019,7,6,0
Maharashtra,Pune,Dengue,2019,8,0,0
Maharashtra,Pune,Dengue,2019,9,2,0
Maharashtra,Pune,Dengue,2019,10,13,0
Maharashtra,Pune,Dengue,2019,11,5,0
Maharashtra,Pune,Dengue,2019,12,2,0
Maharashtra,Pune,Dengue,2019,13,0,0
Maharashtra,Pune,Dengue,2019,14,1,0
Maharashtra,Pune,Dengue,2019,15,15,0
Maharashtra,Pune,Dengue,2019,16,14,0
Maharashtra,Pune,Dengue,2019,17,19,0
Maharashtra,Pune,Dengue,2019,18,19,0
Maharashtra,Pune,Dengue,2019,19,0,0
Maharashtra,Pune,Dengue,2019,20,50,0
Maharashtra,Pune,Dengue,2019,21,45,0
Maharashtra,Pune,Dengue,2019,22,42,0
Maharashtra,Pune,Dengue,2019,23,54,0
Maharashtra,Pune,Dengue,2019,24,80,0
Maharashtra,Pune,Dengue,2019,25,69,0
Maharashtra,Pune,Dengue,2019,26,84,0
Maharashtra,Pune,Dengue,2019,27,96,0
Maharashtra,Pune,Dengue,2019,28,0,0
Maharashtra,Pune,Dengue,2019,29,91,0
Maharashtra,Pune,Dengue,2019,30,108,0
Maharashtra,Pune,Dengue,2019,31,94,0
Maharashtra,Pune,Dengue,2019,32,115,0
Maharashtra,Pune,Dengue,2019,33,111,0
Maharashtra,Pune,Dengue,2019,34,113,0
Maharashtra,Pune,Dengue,2019,35,120,0
Maharashtra,Pune,Dengue,2019,36,121,0
Maharashtra,Pune,Dengue,2019,37,110,0
Maharashtra,Pune,Dengue,2019,38,123,0
Maharashtra,Pune,Dengue,2019,39,115,0
Maharashtra,Pune,Dengue,2019,40,112,0
Maharashtra,Pune,Dengue,2019,41,117,0
Maharashtra,Pune,Dengue,2019,42,121,0
Maharashtra,Pune,Dengue,2019,43,87,1
Maharashtra,Pune,Dengue,2019,44,97,0
Maharashtra,Pune,Dengue,2019,45,95,0
Maharashtra,Pune,Dengue,2019,46,75,0
Maharashtra,Pune,Dengue,2019,47,83,0
Maharashtra,Pune,Dengue,2019,48,60,0
Maharashtra,Pune,Dengue,2019,49,60,0
Maharashtra,Pune,Dengue,2019,50,44,0
Maharashtra,Pune,Dengue,2019,51,44,0
Maharashtra,Pune,Dengue,2019,52,44,0
Maharashtra,Pune,Dengue,2020,1,31,0
Maharashtra,Pune,Dengue,2020,2,23,0
Maharashtra,Pune,Dengue,2020,3,6,0
Maharashtra,Pune,Dengue,2020,4,22,0
Maharashtra,Pune,Dengue,2020,5,10,0
Maharashtra,Pune,Dengue,2020,6,7,0
Maharashtra,Pune,Dengue,2020,7,0,0
Maharashtra,Pune,Dengue,2020,8,7,0
Maharashtra,Pune,Dengue,2020,9,0,0
Maharashtra,Pune,Dengue,2020,10,0,0
Maharashtra,Pune,Dengue,2020,11,0,0
Maharashtra,Pune,Dengue,2020,12,2,0
Maharashtra,Pune,Dengue,2020,13,14,0
Maharashtra,Pune,Dengue,2020,14,8,0
Maharashtra,Pune,Dengue,2020,15,12,0
Maharashtra,Pune,Dengue,2020,16,21,0
Maharashtra,Pune,Dengue,2020,17,0,0
Maharashtra,Pune,Dengue,2020,18,28,0
Maharashtra,Pune,Dengue,2020,19,24,0
Maharashtra,Pune,Dengue,2020,20,28,0
Maharashtra,Pune,Dengue,2020,21,49,0
Maharashtra,Pune,Dengue,2020,22,53,0
Maharashtra,Pune,Dengue,2020,23,56,0
Maharashtra,Pune,Dengue,2020,24,55,0
Maharashtra,Pune,Dengue,2020,25,82,0
Maharashtra,Pune,Dengue,2020,26,64,0
Maharashtra,Pune,Dengue,2020,27,94,0
Maharashtra,Pune,Dengue,2020,28,92,0
Maharashtra,Pune,Dengue,2020,29,109,0
Maharashtra,Pune,Dengue,2020,30,112,1
Maharashtra,Pune,Dengue,2020,31,110,0
Maharashtra,Pune,Dengue,2020,32,106,0
Maharashtra,Pune,Dengue,2020,33,123,1
Maharashtra,Pune,Dengue,2020,34,107,0
Maharashtra,Pune,Dengue,2020,35,117,1
Maharashtra,Pune,Dengue,2020,36,112,0
Maharashtra,Pune,Dengue,2020,37,111,0
Maharashtra,Pune,Dengue,2020,38,116,0
Maharashtra,Pune,Dengue,2020,39,117,0
Maharashtra,Pune,Dengue,2020,40,110,0
Maharashtra,Pune,Dengue,2020,41,108,0
Maharashtra,Pune,Dengue,2020,42,106,0
Maharashtra,Pune,Dengue,2020,43,91,0
Maharashtra,Pune,Dengue,2020,44,0,0
Maharashtra,Pune,Dengue,2020,45,97,0
Maharashtra,Pune,Dengue,2020,46,87,0
Maharashtra,Pune,Dengue,2020,47,61,0
Maharashtra,Pune,Dengue,2020,48,67,0
Maharashtra,Pune,Dengue,2020,49,52,0
Maharashtra,Pune,Dengue,2020,50,48,0
Maharashtra,Pune,Dengue,2020,51,43,0
Maharashtra,Pune,Dengue,2020,52,33,0
Maharashtra,Pune,Dengue,2021,1,20,0
Maharashtra,Pune,Dengue,2021,2,23,0
Maharashtra,Pune,Dengue,2021,3,28,0
Maharashtra,Pune,Dengue,2021,4,13,0
Maharashtra,Pune,Dengue,2021,5,11,0
Maharashtra,Pune,Dengue,2021,6,7,0
Maharashtra,Pune,Dengue,2021,7,2,0
Maharashtra,Pune,Dengue,2021,8,0,0
Maharashtra,Pune,Dengue,2021,9,0,0
Maharashtra,Pune,Dengue,2021,10,1,0
Maharashtra,Pune,Dengue,2021,11,3,0
Maharashtra,Pune,Dengue,2021,12,0,0
Maharashtra,Pune,Dengue,2021,13,0,0
Maharashtra,Pune,Dengue,2021,14,4,0
Maharashtra,Pune,Dengue,2021,15,11,0
Maharashtra,Pune,Dengue,2021,16,10,0
Maharashtra,Pune,Dengue,2021,17,26,0
Maharashtra,Pune,Dengue,2021,18,25,0
Maharashtra,Pune,Dengue,2021,19,33,0
Maharashtra,Pune,Dengue,2021,20,43,0
Maharashtra,Pune,Dengue,2021,21,53,0
Maharashtra,Pune,Dengue,2021,22,52,0
Maharashtra,Pune,Dengue,2021,23,57,0
Maharashtra,Pune,Dengue,2021,24,59,0
Maharashtra,Pune,Dengue,2021,25,65,0
Maharashtra,Pune,Dengue,2021,26,67,0
Maharashtra,Pune,Dengue,2021,27,89,0
Maharashtra,Pune,Dengue,2021,28,91,0
Maharashtra,Pune,Dengue,2021,29,98,0
Maharashtra,Pune,Dengue,2021,30,108,0
Maharashtra,Pune,Dengue,2021,31,106,0
Maharashtra,Pune,Dengue,2021,32,113,0
Maharashtra,Pune,Dengue,2021,33,131,0
Maharashtra,Pune,Dengue,2021,34,128,2
Maharashtra,Pune,Dengue,2021,35,116,0
Maharashtra,Pune,Dengue,2021,36,114,0
Maharashtra,Pune,Dengue,2021,37,123,0
Maharashtra,Pune,Dengue,2021,38,115,0
Maharashtra,Pune,Dengue,2021,39,112,0
Maharashtra,Pune,Dengue,2021,40,118,0
Maharashtra,Pune,Dengue,2021,41,105,0
Maharashtra,Pune,Dengue,2021,42,121,0
Maharashtra,Pune,Dengue,2021,43,91,0
Maharashtra,Pune,Dengue,2021,44,111,0
Maharashtra,Pune,Dengue,2021,45,80,0
Maharashtra,Pune,Dengue,2021,46,79,0
Maharashtra,Pune,Dengue,2021,47,74,0
Maharashtra,Pune,Dengue,2021,48,62,0
Maharashtra,Pune,Dengue,2021,49,73,0
Maharashtra,Pune,Dengue,2021,50,66,0
Maharashtra,Pune,Dengue,2021,51,42,0
Maharashtra,Pune,Dengue,2021,52,37,0
Maharashtra,Pune,Dengue,2022,1,36,0
Maharashtra,Pune,Dengue,2022,2,18,0
Maharashtra,Pune,Dengue,2022,3,25,0
Maharashtra,Pune,Dengue,2022,4,14,0
Maharashtra,Pune,Dengue,2022,5,21,0
Maharashtra,Pune,Dengue,2022,6,0,0
Maharashtra,Pune,Dengue,2022,7,0,0
Maharashtra,Pune,Dengue,2022,8,1,2
Maharashtra,Pune,Dengue,2022,9,0,0
Maharashtra,Pune,Dengue,2022,10,0,0
Maharashtra,Pune,Dengue,2022,11,0,0
Maharashtra,Pune,Dengue,2022,12,3,0
Maharashtra,Pune,Dengue,2022,13,4,0
Maharashtra,Pune,Dengue,2022,14,4,0
Maharashtra,Pune,Dengue,2022,15,3,0
Maharashtra,Pune,Dengue,2022,16,3,0
Maharashtra,Pune,Dengue,2022,17,7,0
Maharashtra,Pune,Dengue,2022,18,18,0
Maharashtra,Pune,Dengue,2022,19,30,0
Maharashtra,Pune,Dengue,2022,20,31,1
Maharashtra,Pune,Dengue,2022,21,39,0
Maharashtra,Pune,Dengue,2022,22,62,0
Maharashtra,Pune,Dengue,2022,23,55,0
Maharashtra,Pune,Dengue,2022,24,71,0
Maharashtra,Pune,Dengue,2022,25,83,2
Maharashtra,Pune,Dengue,2022,26,85,0
Maharashtra,Pune,Dengue,2022,27,96,0
Maharashtra,Pune,Dengue,2022,28,100,0
Maharashtra,Pune,Dengue,2022,29,112,0
Maharashtra,Pune,Dengue,2022,30,108,0
Maharashtra,Pune,Dengue,2022,31,97,0
Maharashtra,Pune,Dengue,2022,32,107,0
Maharashtra,Pune,Dengue,2022,33,117,0
Maharashtra,Pune,Dengue,2022,34,134,0
Maharashtra,Pune,Dengue,2022,35,132,0
Maharashtra,Pune,Dengue,2022,36,120,0
Maharashtra,Pune,Dengue,2022,37,114,0
Maharashtra,Pune,Dengue,2022,38,126,0
Maharashtra,Pune,Dengue,2022,39,118,0
Maharashtra,Pune,Dengue,2022,40,119,0
Maharashtra,Pune,Dengue,2022,41,115,0
Maharashtra,Pune,Dengue,2022,42,104,0
Maharashtra,Pune,Dengue,2022,43,95,0
Maharashtra,Pune,Dengue,2022,44,83,0
Maharashtra,Pune,Dengue,2022,45,84,0
Maharashtra,Pune,Dengue,2022,46,93,0
Maharashtra,Pune,Dengue,2022,47,69,0
Maharashtra,Pune,Dengue,2022,48,56,0
Maharashtra,Pune,Dengue,2022,49,56,0
Maharashtra,Pune,Dengue,2022,50,47,0
Maharashtra,Pune,Dengue,2022,51,42,0
Maharashtra,Pune,Dengue,2022,52,50,1
Maharashtra,Pune,Dengue,2023,1,16,0
Maharashtra,Pune,Dengue,2023,2,22,0
Maharashtra,Pune,Dengue,2023,3,24,0
Maharashtra,Pune,Dengue,2023,4,3,0
Maharashtra,Pune,Dengue,2023,5,24,1
Maharashtra,Pune,Dengue,2023,6,3,0
Maharashtra,Pune,Dengue,2023,7,0,0
Maharashtra,Pune,Dengue,2023,8,11,0
Maharashtra,Pune,Dengue,2023,9,0,0
Maharashtra,Pune,Dengue,2023,10,0,0
Maharashtra,Pune,Dengue,2023,11,15,0
Maharashtra,Pune,Dengue,2023,12,4,0
Maharashtra,Pune,Dengue,2023,13,10,0
Maharashtra,Pune,Dengue,2023,14,0,0
Maharashtra,Pune,Dengue,2023,15,7,0
Maharashtra,Pune,Dengue,2023,16,22,0
Maharashtra,Pune,Dengue,2023,17,14,0
Maharashtra,Pune,Dengue,2023,18,15,0
Maharashtra,Pune,Dengue,2023,19,29,0
Maharashtra,Pune,Dengue,2023,20,40,0
Maharashtra,Pune,Dengue,2023,21,40,0
Maharashtra,Pune,Dengue,2023,22,58,0
Maharashtra,Pune,Dengue,2023,23,40,0
Maharashtra,Pune,Dengue,2023,24,61,0
Maharashtra,Pune,Dengue,2023,25,78,0
Maharashtra,Pune,Dengue,2023,26,74,0
Maharashtra,Pune,Dengue,2023,27,89,0
Maharashtra,Pune,Dengue,2023,28,88,0
Maharashtra,Pune,Dengue,2023,29,101,0
Maharashtra,Pune,Dengue,2023,30,109,0
Maharashtra,Pune,Dengue,2023,31,123,0
Maharashtra,Pune,Dengue,2023,32,113,0
Maharashtra,Pune,Dengue,2023,33,0,0
Maharashtra,Pune,Dengue,2023,34,116,0
Maharashtra,Pune,Dengue,2023,35,120,0
Maharashtra,Pune,Dengue,2023,36,122,0
Maharashtra,Pune,Dengue,2023,37,121,0
Maharashtra,Pune,Dengue,2023,38,109,0
Maharashtra,Pune,Dengue,2023,39,119,0
Maharashtra,Pune,Dengue,2023,40,98,0
Maharashtra,Pune,Dengue,2023,41,102,0
Maharashtra,Pune,Dengue,2023,42,105,0
Maharashtra,Pune,Dengue,2023,43,108,0
Maharashtra,Pune,Dengue,2023,44,98,0
Maharashtra,Pune,Dengue,2023,45,77,0
Maharashtra,Pune,Dengue,2023,46,102,0
Maharashtra,Pune,Dengue,2023,47,70,0
Maharashtra,Pune,Dengue,2023,48,53,0
Maharashtra,Pune,Dengue,2023,49,55,0
Maharashtra,Pune,Dengue,2023,50,54,0
Maharashtra,Pune,Dengue,2023,51,36,0
Maharashtra,Pune,Dengue,2023,52,43,0
Maharashtra,Pune,Dengue,2024,1,33,0
Maharashtra,Pune,Dengue,2024,2,23,0
Maharashtra,Pune,Dengue,2024,3,12,0
Maharashtra,Pune,Dengue,2024,4,10,0
Maharashtra,Pune,Dengue,2024,5,10,1
Maharashtra,Pune,Dengue,2024,6,0,0
Maharashtra,Pune,Dengue,2024,7,0,0
Maharashtra,Pune,Dengue,2024,8,0,0
Maharashtra,Pune,Dengue,2024,9,0,0
Maharashtra,Pune,Dengue,2024,10,9,1
Maharashtra,Pune,Dengue,2024,11,4,0
Maharashtra,Pune,Dengue,2024,12,0,0
Maharashtra,Pune,Dengue,2024,13,3,0
Maharashtra,Pune,Dengue,2024,14,11,0
Maharashtra,Pune,Dengue,2024,15,16,0
Maharashtra,Pune,Dengue,2024,16,8,0
Maharashtra,Pune,Dengue,2024,17,20,0
Maharashtra,Pune,Dengue,2024,18,20,0
Maharashtra,Pune,Dengue,2024,19,33,0
Maharashtra,Pune,Dengue,2024,20,29,0
Maharashtra,Pune,Dengue,2024,21,43,0
Maharashtra,Pune,Dengue,2024,22,47,0
Maharashtra,Pune,Dengue,2024,23,60,0
Maharashtra,Pune,Dengue,2024,24,63,0
Maharashtra,Pune,Dengue,2024,25,73,0
Maharashtra,Pune,Dengue,2024,26,0,0
Maharashtra,Pune,Dengue,2024,27,88,0
Maharashtra,Pune,Dengue,2024,28,0,0
Maharashtra,Pune,Dengue,2024,29,102,0
Maharashtra,Pune,Dengue,2024,30,111,0
Maharashtra,Pune,Dengue,2024,31,122,0
Maharashtra,Pune,Dengue,2024,32,119,0
Maharashtra,Pune,Dengue,2024,33,107,0
Maharashtra,Pune,Dengue,2024,34,113,0
Maharashtra,Pune,Dengue,2024,35,113,0
Maharashtra,Pune,Dengue,2024,36,131,0
Maharashtra,Pune,Dengue,2024,37,122,0
Maharashtra,Pune,Dengue,2024,38,113,0
Maharashtra,Pune,Dengue,2024,39,112,0
Maharashtra,Pune,Dengue,2024,40,118,0
Maharashtra,Pune,Dengue,2024,41,114,0
Maharashtra,Pune,Dengue,2024,42,101,0
Maharashtra,Pune,Dengue,2024,43,102,0
Maharashtra,Pune,Dengue,2024,44,97,0
Maharashtra,Pune,Dengue,2024,45,89,0
Maharashtra,Pune,Dengue,2024,46,72,0
Maharashtra,Pune,Dengue,2024,47,64,0
Maharashtra,Pune,Dengue,2024,48,63,0
Maharashtra,Pune,Dengue,2024,49,67,0
Maharashtra,Pune,Dengue,2024,50,56,0
Maharashtra,Pune,Dengue,2024,51,42,0
Maharashtra,Pune,Dengue,2024,52,46,0
Maharashtra,Pune,Malaria,2017,1,21,0
Maharashtra,Pune,Malaria,2017,2,11,0
Maharashtra,Pune,Malaria,2017,3,19,0
Maharashtra,Pune,Malaria,2017,4,11,0
Maharashtra,Pune,Malaria,2017,5,15,0
Maharashtra,Pune,Malaria,2017,6,15,0
Maharashtra,Pune,Malaria,2017,7,11,0
Maharashtra,Pune,Malaria,2017,8,14,0
Maharashtra,Pune,Malaria,2017,9,17,0
Maharashtra,Pune,Malaria,2017,10,19,0
Maharashtra,Pune,Malaria,2017,11,19,0
Maharashtra,Pune,Malaria,2017,12,13,0
Maharashtra,Pune,Malaria,2017,13,20,0
Maharashtra,Pune,Malaria,2017,14,17,0
Maharashtra,Pune,Malaria,2017,15,27,0
Maharashtra,Pune,Malaria,2017,16,30,0
Maharashtra,Pune,Malaria,2017,17,33,0
Maharashtra,Pune,Malaria,2017,18,31,0
Maharashtra,Pune,Malaria,2017,19,38,0
Maharashtra,Pune,Malaria,2017,20,31,0
Maharashtra,Pune,Malaria,2017,21,37,0
Maharashtra,Pune,Malaria,2017,22,45,0
Maharashtra,Pune,Malaria,2017,23,45,0
Maharashtra,Pune,Malaria,2017,24,49,0
Maharashtra,Pune,Malaria,2017,25,53,0
Maharashtra,Pune,Malaria,2017,26,43,0
Maharashtra,Pune,Malaria,2017,27,50,0
Maharashtra,Pune,Malaria,2017,28,55,0
Maharashtra,Pune,Malaria,2017,29,50,0
Maharashtra,Pune,Malaria,2017,30,57,0
Maharashtra,Pune,Malaria,2017,31,55,0
Maharashtra,Pune,Malaria,2017,32,51,0
Maharashtra,Pune,Malaria,2017,33,57,1
Maharashtra,Pune,Malaria,2017,34,51,0
Maharashtra,Pune,Malaria,2017,35,50,0
Maharashtra,Pune,Malaria,2017,36,57,0
Maharashtra,Pune,Malaria,2017,37,52,0
Maharashtra,Pune,Malaria,2017,38,56,0
Maharashtra,Pune,Malaria,2017,39,50,0
Maharashtra,Pune,Malaria,2017,40,44,0
Maharashtra,Pune,Malaria,2017,41,35,0
Maharashtra,Pune,Malaria,2017,42,46,0
Maharashtra,Pune,Malaria,2017,43,44,2
Maharashtra,Pune,Malaria,2017,44,39,0
Maharashtra,Pune,Malaria,2017,45,42,0
Maharashtra,Pune,Malaria,2017,46,29,0
Maharashtra,Pune,Malaria,2017,47,33,0
Maharashtra,Pune,Malaria,2017,48,21,0
Maharashtra,Pune,Malaria,2017,49,28,0
Maharashtra,Pune,Malaria,2017,50,24,0
Maharashtra,Pune,Malaria,2017,51,23,0
Maharashtra,Pune,Malaria,2017,52,21,0
Maharashtra,Pune,Malaria,2018,1,15,0
Maharashtra,Pune,Malaria,2018,2,0,0
Maharashtra,Pune,Malaria,2018,3,15,0
Maharashtra,Pune,Malaria,2018,4,16,0
Maharashtra,Pune,Malaria,2018,5,13,0
Maharashtra,Pune,Malaria,2018,6,12,0
Maharashtra,Pune,Malaria,2018,7,19,0
Maharashtra,Pune,Malaria,2018,8,14,1
Maharashtra,Pune,Malaria,2018,9,15,0
Maharashtra,Pune,Malaria,2018,10,17,0
Maharashtra,Pune,Malaria,2018,11,18,0
Maharashtra,Pune,Malaria,2018,12,12,0
Maharashtra,Pune,Malaria,2018,13,24,0
Maharashtra,Pune,Malaria,2018,14,29,0
Maharashtra,Pune,Malaria,2018,15,31,0
Maharashtra,Pune,Malaria,2018,16,30,0
Maharashtra,Pune,Malaria,2018,17,39,1
Maharashtra,Pune,Malaria,2018,18,35,0
Maharashtra,Pune,Malaria,2018,19,35,0
Maharashtra,Pune,Malaria,2018,20,34,0
Maharashtra,Pune,Malaria,2018,21,42,0
Maharashtra,Pune,Malaria,2018,22,45,0
Maharashtra,Pune,Malaria,2018,23,49,0
Maharashtra,Pune,Malaria,2018,24,46,0
Maharashtra,Pune,Malaria,2018,25,48,0
Maharashtra,Pune,Malaria,2018,26,49,0
Maharashtra,Pune,Malaria,2018,27,57,0
Maharashtra,Pune,Malaria,2018,28,56,0
Maharashtra,Pune,Malaria,2018,29,53,0
Maharashtra,Pune,Malaria,2018,30,56,0
Maharashtra,Pune,Malaria,2018,31,65,0
Maharashtra,Pune,Malaria,2018,32,54,0
Maharashtra,Pune,Malaria,2018,33,51,0
Maharashtra,Pune,Malaria,2018,34,46,0
Maharashtra,Pune,Malaria,2018,35,61,0
Maharashtra,Pune,Malaria,2018,36,56,0
Maharashtra,Pune,Malaria,2018,37,47,0
Maharashtra,Pune,Malaria,2018,38,41,0
Maharashtra,Pune,Malaria,2018,39,44,0
Maharashtra,Pune,Malaria,2018,40,50,0
Maharashtra,Pune,Malaria,2018,41,40,0
Maharashtra,Pune,Malaria,2018,42,45,2
Maharashtra,Pune,Malaria,2018,43,37,0
Maharashtra,Pune,Malaria,2018,44,46,0
Maharashtra,Pune,Malaria,2018,45,38,0
Maharashtra,Pune,Malaria,2018,46,29,0
Maharashtra,Pune,Malaria,2018,47,29,0
Maharashtra,Pune,Malaria,2018,48,28,0
Maharashtra,Pune,Malaria,2018,49,30,0
Maharashtra,Pune,Malaria,2018,50,20,0
Maharashtra,Pune,Malaria,2018,51,25,0
Maharashtra,Pune,Malaria,2018,52,24,0
Maharashtra,Pune,Malaria,2019,1,12,0
Maharashtra,Pune,Malaria,2019,2,14,0
Maharashtra,Pune,Malaria,2019,3,8,0
Maharashtra,Pune,Malaria,2019,4,13,0
Maharashtra,Pune,Malaria,2019,5,8,0
Maharashtra,Pune,Malaria,2019,6,15,0
Maharashtra,Pune,Malaria,2019,7,18,0
Maharashtra,Pune,Malaria,2019,8,24,0
Maharashtra,Pune,Malaria,2019,9,16,0
Maharashtra,Pune,Malaria,2019,10,18,0
Maharashtra,Pune,Malaria,2019,11,24,0
Maharashtra,Pune,Malaria,2019,12,14,0
Maharashtra,Pune,Malaria,2019,13,19,0
Maharashtra,Pune,Malaria,2019,14,27,0
Maharashtra,Pune,Malaria,2019,15,21,0
Maharashtra,Pune,Malaria,2019,16,21,0
Maharashtra,Pune,Malaria,2019,17,31,0
Maharashtra,Pune,Malaria,2019,18,32,0
Maharashtra,Pune,Malaria,2019,19,29,0
Maharashtra,Pune,Malaria,2019,20,40,0
Maharashtra,Pune,Malaria,2019,21,32,0
Maharashtra,Pune,Malaria,2019,22,43,0
Maharashtra,Pune,Malaria,2019,23,40,0
Maharashtra,Pune,Malaria,2019,24,48,0
Maharashtra,Pune,Malaria,2019,25,48,0
Maharashtra,Pune,Malaria,2019,26,42,0
Maharashtra,Pune,Malaria,2019,27,50,0
Maharashtra,Pune,Malaria,2019,28,57,0
Maharashtra,Pune,Malaria,2019,29,50,0
Maharashtra,Pune,Malaria,2019,30,59,0
Maharashtra,Pune,Malaria,2019,31,52,0
Maharashtra,Pune,Malaria,2019,32,54,0
Maharashtra,Pune,Malaria,2019,33,55,0
Maharashtra,Pune,Malaria,2019,34,56,0
Maharashtra,Pune,Malaria,2019,35,53,0
Maharashtra,Pune,Malaria,2019,36,54,0
Maharashtra,Pune,Malaria,2019,37,44,0
Maharashtra,Pune,Malaria,2019,38,48,0
