district_id,district_name,division,block,village,species,disease_id,disease_name,week_start,reported_cases,deaths,reporter_type,lat,lon,state
PUNE,Pune,Pune,Indapur,indagaon9,goat,brucellosis,Brucellosis,2024-07-08,0,0,livestock_inspector,18.517924,73.879806,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Shrirampur,shripur71,cattle,lsd,Lumpy Skin Disease,2024-07-08,0,0,farmer,18.99176,74.720555,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Sangamner,sangbudruk90,buffalo,lsd,Lumpy Skin Disease,2024-07-08,0,0,livestock_inspector,18.966154,74.668027,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Rahuri,rahukhurd83,goat,ppr,Peste des Petits Ruminants,2024-07-08,0,0,para_vet,19.217323,74.845989,Maharashtra
NASHIK,Nashik,Nashik,Trimbakeshwar,trimnagar43,sheep,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,field_vet,20.05734,73.89732,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Shirol,shirtarf65,cattle,lsd,Lumpy Skin Disease,2024-07-08,0,0,field_vet,16.801165,74.178152,Maharashtra
SANGLI,Sangli,Kolhapur,Miraj,mirakhurd81,buffalo,lsd,Lumpy Skin Disease,2024-07-08,0,0,field_vet,17.001628,74.65553,Maharashtra
SANGLI,Sangli,Kolhapur,Miraj,mirabudruk46,sheep,ppr,Peste des Petits Ruminants,2024-07-08,0,0,field_vet,16.831606,74.504759,Maharashtra
SANGLI,Sangli,Kolhapur,Kadegaon,kadepur10,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-08,0,0,livestock_inspector,16.985971,74.727796,Maharashtra
SOLAPUR,Solapur,Pune,Pandharpur,pandtarf74,buffalo,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,field_vet,17.807708,75.844969,Maharashtra
SOLAPUR,Solapur,Pune,Akkalkot,akkanagar23,cattle,brucellosis,Brucellosis,2024-07-08,0,0,para_vet,17.549548,75.918222,Maharashtra
SOLAPUR,Solapur,Pune,Barshi,barspur97,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-08,0,0,para_vet,17.767942,75.973665,Maharashtra
NAGPUR,Nagpur,Nagpur,Narkhed,narktarf79,sheep,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,para_vet,21.190096,79.128821,Maharashtra
NAGPUR,Nagpur,Nagpur,Kamptee,kampbudruk64,cattle,lsd,Lumpy Skin Disease,2024-07-08,0,0,farmer,21.024958,79.204378,Maharashtra
NAGPUR,Nagpur,Nagpur,Katol,katogaon63,goat,ppr,Peste des Petits Ruminants,2024-07-08,0,0,panchayat_member,21.118235,79.223656,Maharashtra
NAGPUR,Nagpur,Nagpur,Saoner,saonkhurd17,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-08,0,0,panchayat_member,21.057362,79.187145,Maharashtra
LATUR,Latur,Aurangabad,Nilanga,nilapur70,buffalo,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,field_vet,18.498354,76.443378,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chakgaon96,sheep,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,farmer,18.401674,76.643805,Maharashtra
LATUR,Latur,Aurangabad,Deoni,deonbudruk59,cattle,lsd,Lumpy Skin Disease,2024-07-08,0,0,farmer,18.277048,76.554095,Maharashtra
LATUR,Latur,Aurangabad,Renapur,renatarf49,goat,ppr,Peste des Petits Ruminants,2024-07-08,0,0,panchayat_member,18.417967,76.546515,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chakkhurd53,cattle,brucellosis,Brucellosis,2024-07-08,0,0,field_vet,18.507026,76.530019,Maharashtra
LATUR,Latur,Aurangabad,Ausa,ausagaon56,goat,brucellosis,Brucellosis,2024-07-08,0,0,farmer,18.482177,76.522194,Maharashtra
JALGAON,Jalgaon,Nashik,Yawal,yawabudruk46,buffalo,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,farmer,21.031076,75.476422,Maharashtra
JALGAON,Jalgaon,Nashik,Chopda,choppur21,goat,brucellosis,Brucellosis,2024-07-08,0,0,panchayat_member,20.872629,75.437074,Maharashtra
PUNE,Pune,Pune,Indapur,indabudruk6,cattle,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,para_vet,18.488979,73.886497,Maharashtra
PUNE,Pune,Pune,Bhor,bhorbudruk38,buffalo,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,field_vet,18.406395,73.855916,Maharashtra
PUNE,Pune,Pune,Junnar,junntarf29,cattle,brucellosis,Brucellosis,2024-07-15,0,0,field_vet,18.604135,73.729614,Maharashtra
PUNE,Pune,Pune,Ambegaon,ambetarf94,buffalo,brucellosis,Brucellosis,2024-07-15,0,0,para_vet,18.441281,73.750633,Maharashtra
PUNE,Pune,Pune,Indapur,indapeth97,goat,brucellosis,Brucellosis,2024-07-15,0,0,panchayat_member,18.598363,73.841372,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Kopargaon,kopabudruk36,cattle,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,panchayat_member,18.961652,74.750201,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Parner,parnbudruk10,buffalo,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,farmer,19.129303,74.75012,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Kopargaon,kopatarf87,sheep,ppr,Peste des Petits Ruminants,2024-07-15,0,0,panchayat_member,18.96051,74.787266,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Parner,parnpur43,cattle,brucellosis,Brucellosis,2024-07-15,0,0,farmer,19.119622,74.640429,Maharashtra
NASHIK,Nashik,Nashik,Igatpuri,igatpur10,goat,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,field_vet,20.109629,73.670342,Maharashtra
NASHIK,Nashik,Nashik,Yeola,yeolpeth30,sheep,ppr,Peste des Petits Ruminants,2024-07-15,0,0,panchayat_member,19.928051,73.929679,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Karveer,karvpur35,cattle,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,livestock_inspector,16.826592,74.137505,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Shirol,shirtarf4,buffalo,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,livestock_inspector,16.570977,74.243902,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Radhanagari,radhpeth58,cattle,lsd,Lumpy Skin Disease,2024-07-15,0,0,panchayat_member,16.556575,74.117068,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Gaganbawada,gagakhurd92,cattle,brucellosis,Brucellosis,2024-07-15,0,0,para_vet,16.642382,74.093769,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Radhanagari,radhgaon68,buffalo,brucellosis,Brucellosis,2024-07-15,0,0,field_vet,16.575304,74.251118,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Karveer,karvtarf9,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-15,0,0,field_vet,16.627338,74.290431,Maharashtra
SANGLI,Sangli,Kolhapur,Jath,jathpeth5,goat,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,field_vet,16.762877,74.668833,Maharashtra
SANGLI,Sangli,Kolhapur,Jath,jathtarf35,buffalo,lsd,Lumpy Skin Disease,2024-07-15,0,0,farmer,16.942203,74.562585,Maharashtra
SANGLI,Sangli,Kolhapur,Jath,jathpeth48,goat,ppr,Peste des Petits Ruminants,2024-07-15,0,0,panchayat_member,16.782416,74.456283,Maharashtra
SANGLI,Sangli,Kolhapur,Shirala,shirnagar22,cattle,brucellosis,Brucellosis,2024-07-15,0,0,livestock_inspector,16.807864,74.444207,Maharashtra
SOLAPUR,Solapur,Pune,Barshi,barskhurd83,cattle,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,field_vet,17.618545,76.04124,Maharashtra
SOLAPUR,Solapur,Pune,Karmala,karmpeth28,cattle,lsd,Lumpy Skin Disease,2024-07-15,0,0,panchayat_member,17.595573,76.031344,Maharashtra
NAGPUR,Nagpur,Nagpur,Kamptee,kamppur39,buffalo,lsd,Lumpy Skin Disease,2024-07-15,0,0,para_vet,21.04439,79.218621,Maharashtra
NAGPUR,Nagpur,Nagpur,Hingna,hingbudruk17,goat,ppr,Peste des Petits Ruminants,2024-07-15,0,0,field_vet,21.180128,78.966229,Maharashtra
NAGPUR,Nagpur,Nagpur,Umred,umrebudruk84,buffalo,brucellosis,Brucellosis,2024-07-15,0,0,para_vet,21.225888,79.063176,Maharashtra
LATUR,Latur,Aurangabad,Renapur,renagaon41,goat,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,para_vet,18.398742,76.490642,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chaknagar32,sheep,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,para_vet,18.502843,76.690525,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chakpeth31,buffalo,lsd,Lumpy Skin Disease,2024-07-15,0,0,para_vet,18.433803,76.424997,Maharashtra
LATUR,Latur,Aurangabad,Ausa,ausagaon56,goat,ppr,Peste des Petits Ruminants,2024-07-15,0,0,para_vet,18.523537,76.628652,Maharashtra
JALGAON,Jalgaon,Nashik,Yawal,yawapeth67,cattle,fmd,Foot-and-Mouth Disease,2024-07-15,0,0,livestock_inspector,20.902382,75.68054,Maharashtra
JALGAON,Jalgaon,Nashik,Erandol,eranpur68,sheep,ppr,Peste des Petits Ruminants,2024-07-15,0,0,panchayat_member,21.090082,75.526657,Maharashtra
JALGAON,Jalgaon,Nashik,Erandol,erantarf54,cattle,brucellosis,Brucellosis,2024-07-15,0,0,para_vet,20.981588,75.473768,Maharashtra
PUNE,Pune,Pune,Junnar,junnbudruk91,goat,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,para_vet,18.577472,73.853401,Maharashtra
PUNE,Pune,Pune,Junnar,junnbudruk18,sheep,ppr,Peste des Petits Ruminants,2024-07-22,0,0,farmer,18.555103,73.882749,Maharashtra
PUNE,Pune,Pune,Baramati,baratarf92,cattle,brucellosis,Brucellosis,2024-07-22,0,0,livestock_inspector,18.400563,73.93793,Maharashtra
PUNE,Pune,Pune,Junnar,junntarf37,goat,brucellosis,Brucellosis,2024-07-22,0,0,farmer,18.642781,73.733538,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Rahuri,rahunagar64,cattle,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,para_vet,19.225783,74.886639,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Nevasa,nevagaon43,buffalo,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,field_vet,19.081105,74.790394,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Parner,parngaon43,goat,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,para_vet,19.164136,74.792486,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Sangamner,sangkhurd8,cattle,brucellosis,Brucellosis,2024-07-22,0,0,farmer,19.084418,74.645915,Maharashtra
NASHIK,Nashik,Nashik,Trimbakeshwar,trimwadi96,cattle,brucellosis,Brucellosis,2024-07-22,0,0,para_vet,20.029793,73.653587,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Gaganbawada,gaganagar68,goat,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,para_vet,16.773357,74.160107,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Radhanagari,radhnagar69,sheep,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,livestock_inspector,16.802008,74.167554,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Radhanagari,radhnagar79,cattle,lsd,Lumpy Skin Disease,2024-07-22,0,0,farmer,16.6272,74.113487,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Hatkanangle,hatkkhurd94,sheep,ppr,Peste des Petits Ruminants,2024-07-22,0,0,panchayat_member,16.650671,74.272675,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Gaganbawada,gagapur81,buffalo,brucellosis,Brucellosis,2024-07-22,0,0,livestock_inspector,16.721755,74.107365,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Gaganbawada,gagapeth31,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-22,0,0,para_vet,16.645221,74.305573,Maharashtra
SANGLI,Sangli,Kolhapur,Jath,jathgaon58,buffalo,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,field_vet,16.730139,74.648875,Maharashtra
SANGLI,Sangli,Kolhapur,Kadegaon,kadepeth60,cattle,brucellosis,Brucellosis,2024-07-22,0,0,farmer,16.943245,74.648224,Maharashtra
SANGLI,Sangli,Kolhapur,Walwa,walwnagar6,buffalo,brucellosis,Brucellosis,2024-07-22,0,0,panchayat_member,16.961625,74.653876,Maharashtra
SANGLI,Sangli,Kolhapur,Tasgaon,tasgtarf30,goat,brucellosis,Brucellosis,2024-07-22,0,0,livestock_inspector,16.873337,74.505219,Maharashtra
SOLAPUR,Solapur,Pune,Mangalvedhe,mangpeth24,buffalo,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,panchayat_member,17.806997,76.043571,Maharashtra
SOLAPUR,Solapur,Pune,Barshi,barsnagar18,goat,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,para_vet,17.53029,75.801709,Maharashtra
SOLAPUR,Solapur,Pune,Akkalkot,akkapeth85,sheep,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,livestock_inspector,17.51462,75.916064,Maharashtra
SOLAPUR,Solapur,Pune,Mangalvedhe,mangnagar23,cattle,lsd,Lumpy Skin Disease,2024-07-22,0,0,farmer,17.785315,75.913716,Maharashtra
SOLAPUR,Solapur,Pune,Karmala,karmbudruk51,buffalo,lsd,Lumpy Skin Disease,2024-07-22,0,0,farmer,17.621815,75.878208,Maharashtra
SOLAPUR,Solapur,Pune,Madha,madhgaon64,cattle,brucellosis,Brucellosis,2024-07-22,0,0,livestock_inspector,17.703372,75.855781,Maharashtra
NAGPUR,Nagpur,Nagpur,Umred,umrenagar10,buffalo,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,field_vet,21.044535,79.010342,Maharashtra
NAGPUR,Nagpur,Nagpur,Hingna,hingnagar92,buffalo,brucellosis,Brucellosis,2024-07-22,0,0,para_vet,21.217697,79.033203,Maharashtra
NAGPUR,Nagpur,Nagpur,Hingna,hinggaon24,goat,brucellosis,Brucellosis,2024-07-22,0,0,livestock_inspector,21.130453,79.104622,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chakgaon93,cattle,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,panchayat_member,18.530362,76.703852,Maharashtra
LATUR,Latur,Aurangabad,Renapur,renakhurd93,sheep,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,livestock_inspector,18.436942,76.469064,Maharashtra
JALGAON,Jalgaon,Nashik,Bhusawal,bhusgaon53,cattle,fmd,Foot-and-Mouth Disease,2024-07-22,0,0,livestock_inspector,20.899454,75.50345,Maharashtra
JALGAON,Jalgaon,Nashik,Bhusawal,bhustarf22,buffalo,lsd,Lumpy Skin Disease,2024-07-22,0,0,panchayat_member,20.870989,75.707682,Maharashtra
JALGAON,Jalgaon,Nashik,Yawal,yawatarf59,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-22,0,0,para_vet,21.014034,75.51709,Maharashtra
PUNE,Pune,Pune,Mulshi,mulswadi44,cattle,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,farmer,18.573542,73.756006,Maharashtra
PUNE,Pune,Pune,Bhor,bhortarf72,buffalo,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,livestock_inspector,18.657939,73.776257,Maharashtra
PUNE,Pune,Pune,Velhe,velhpeth76,goat,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,livestock_inspector,18.487051,73.918121,Maharashtra
PUNE,Pune,Pune,Bhor,bhortarf16,cattle,brucellosis,Brucellosis,2024-07-29,0,0,para_vet,18.462014,73.761613,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Sangamner,sangwadi63,cattle,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,para_vet,19.003339,74.713183,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Shrirampur,shribudruk22,sheep,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,livestock_inspector,19.114495,74.829764,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Pathardi,pathtarf91,buffalo,brucellosis,Brucellosis,2024-07-29,0,0,panchayat_member,19.134631,74.647794,Maharashtra
NASHIK,Nashik,Nashik,Malegaon,malepur32,goat,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,para_vet,20.069718,73.888545,Maharashtra
NASHIK,Nashik,Nashik,Niphad,niphnagar28,cattle,brucellosis,Brucellosis,2024-07-29,0,0,livestock_inspector,20.103754,73.788414,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Hatkanangle,hatkbudruk11,goat,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,field_vet,16.754353,74.287973,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Karveer,karvpur76,cattle,lsd,Lumpy Skin Disease,2024-07-29,0,0,para_vet,16.710833,74.22682,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Shirol,shirpur62,buffalo,lsd,Lumpy Skin Disease,2024-07-29,0,0,farmer,16.623684,74.120099,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Hatkanangle,hatkkhurd81,cattle,brucellosis,Brucellosis,2024-07-29,0,0,para_vet,16.830968,74.278123,Maharashtra
SANGLI,Sangli,Kolhapur,Shirala,shirgaon31,sheep,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,livestock_inspector,16.893825,74.452804,Maharashtra
SOLAPUR,Solapur,Pune,Madha,madhgaon56,buffalo,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,farmer,17.645912,75.93905,Maharashtra
SOLAPUR,Solapur,Pune,Karmala,karmgaon99,cattle,lsd,Lumpy Skin Disease,2024-07-29,0,0,farmer,17.610403,75.885197,Maharashtra
SOLAPUR,Solapur,Pune,Barshi,barskhurd6,cattle,brucellosis,Brucellosis,2024-07-29,0,0,livestock_inspector,17.619093,76.032468,Maharashtra
SOLAPUR,Solapur,Pune,Akkalkot,akkanagar29,buffalo,brucellosis,Brucellosis,2024-07-29,0,0,field_vet,17.584379,76.031156,Maharashtra
NAGPUR,Nagpur,Nagpur,Saoner,saonpeth99,goat,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,para_vet,21.215539,79.102168,Maharashtra
NAGPUR,Nagpur,Nagpur,Saoner,saonwadi98,cattle,lsd,Lumpy Skin Disease,2024-07-29,0,0,livestock_inspector,21.250502,79.156365,Maharashtra
NAGPUR,Nagpur,Nagpur,Katol,katowadi19,buffalo,lsd,Lumpy Skin Disease,2024-07-29,0,0,field_vet,21.023708,79.214582,Maharashtra
NAGPUR,Nagpur,Nagpur,Katol,katogaon76,sheep,ppr,Peste des Petits Ruminants,2024-07-29,0,0,panchayat_member,21.014485,79.136933,Maharashtra
NAGPUR,Nagpur,Nagpur,Kamptee,kamppur58,goat,brucellosis,Brucellosis,2024-07-29,0,0,livestock_inspector,21.09001,78.974421,Maharashtra
LATUR,Latur,Aurangabad,Renapur,renapur12,buffalo,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,para_vet,18.54932,76.529273,Maharashtra
LATUR,Latur,Aurangabad,Nilanga,nilapur26,cattle,lsd,Lumpy Skin Disease,2024-07-29,0,0,livestock_inspector,18.370472,76.599489,Maharashtra
LATUR,Latur,Aurangabad,Ausa,ausawadi9,buffalo,lsd,Lumpy Skin Disease,2024-07-29,0,0,para_vet,18.529549,76.543429,Maharashtra
LATUR,Latur,Aurangabad,Chakur,chakwadi22,goat,ppr,Peste des Petits Ruminants,2024-07-29,0,0,panchayat_member,18.388747,76.627729,Maharashtra
LATUR,Latur,Aurangabad,Shirur Anantpal,shirkhurd83,cattle,brucellosis,Brucellosis,2024-07-29,0,0,field_vet,18.408467,76.675234,Maharashtra
JALGAON,Jalgaon,Nashik,Pachora,pachkhurd4,buffalo,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,field_vet,20.875277,75.710059,Maharashtra
JALGAON,Jalgaon,Nashik,Bhusawal,bhuskhurd35,goat,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,panchayat_member,21.102586,75.687778,Maharashtra
JALGAON,Jalgaon,Nashik,Erandol,erantarf23,sheep,fmd,Foot-and-Mouth Disease,2024-07-29,0,0,para_vet,20.928665,75.508001,Maharashtra
JALGAON,Jalgaon,Nashik,Chopda,chopgaon8,goat,ppr,Peste des Petits Ruminants,2024-07-29,0,0,para_vet,21.038199,75.418578,Maharashtra
JALGAON,Jalgaon,Nashik,Bhusawal,bhusnagar76,goat,brucellosis,Brucellosis,2024-07-29,0,0,farmer,20.958668,75.509381,Maharashtra
PUNE,Pune,Pune,Bhor,bhorwadi90,goat,fmd,Foot-and-Mouth Disease,2024-08-05,0,0,panchayat_member,18.48788,74.004985,Maharashtra
PUNE,Pune,Pune,Ambegaon,ambepur82,buffalo,lsd,Lumpy Skin Disease,2024-08-05,0,0,farmer,18.616899,73.907707,Maharashtra
PUNE,Pune,Pune,Indapur,indagaon5,goat,brucellosis,Brucellosis,2024-08-05,0,0,field_vet,18.376423,73.785038,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Sangamner,sangkhurd25,goat,fmd,Foot-and-Mouth Disease,2024-08-05,0,0,livestock_inspector,19.153959,74.814611,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Shrirampur,shrigaon7,sheep,fmd,Foot-and-Mouth Disease,2024-08-05,0,0,livestock_inspector,19.116331,74.849956,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Shrirampur,shribudruk11,buffalo,lsd,Lumpy Skin Disease,2024-08-05,0,0,livestock_inspector,19.197931,74.690506,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Rahuri,rahupur97,cattle,brucellosis,Brucellosis,2024-08-05,0,0,farmer,18.970512,74.701137,Maharashtra
