fiscal_year,disease,incidence_type,value,unit,note
2005,Avian Influenza,Outbreak,,value in Absolute Number,
2005,Equine Influenza,Outbreak,,value in Absolute Number,
2005,Glander Disease,Outbreak,,value in Absolute Number,
2005,Foot & Mouth Disease,Attack,81909.0,value in Absolute Number,
2005,Haemorrhagic Septicaemia,Attack,4753.0,value in Absolute Number,
2005,Black Quarter,Attack,2396.0,value in Absolute Number,
2005,Anthrax,Attack,668.0,value in Absolute Number,
2005,Fascioliasis,Attack,311252.0,value in Absolute Number,
2005,Enterotoxaemia,Attack,9806.0,value in Absolute Number,
2005,Sheep & Goat Pox,Attack,21292.0,value in Absolute Number,
2005,Cow Pox,Attack,,value in Absolute Number,
2005,Buffalo Pox,Attack,,value in Absolute Number,
2005,Blue Tongue,Attack,280788.0,value in Absolute Number,
2005,C.C.P.P.,Attack,1067.0,value in Absolute Number,
2005,Amphistomiasis,Attack,,value in Absolute Number,
2005,Schistosomiasis,Attack,,value in Absolute Number,
2005,Swine Fever,Attack,4697.0,value in Absolute Number,
2005,Salmonellosis,Attack,,value in Absolute Number,
2005,Coccidiosis,Attack,85864.0,value in Absolute Number,
2005,Ranikhet (New Castle) Disease,Attack,72741.0,value in Absolute Number,
2005,Fowl Pox,Attack,2574.0,value in Absolute Number,
2005,Fowl Cholera,Attack,2.0,value in Absolute Number,
2005,Mareks Disease,Attack,,value in Absolute Number,
2005,I.B.D.,Attack,112392.0,value in Absolute Number,
2005,Duck Plague,Attack,611.0,value in Absolute Number,
2005,Chronic Respiratory Disease,Attack,108511.0,value in Absolute Number,
2005,Canine Distemper,Attack,,value in Absolute Number,
2005,Rabies,Attack,84.0,value in Absolute Number,
2005,Babesiosis,Attack,3648.0,value in Absolute Number,
2005,Mastitis,Attack,,value in Absolute Number,
2005,Trypanismiasis,Attack,425.0,value in Absolute Number,
2005,Mange,Attack,48.0,value in Absolute Number,
2005,Peste Des Petits Ruminant,Attack,65820.0,value in Absolute Number,
2005,Anaplasmosis,Attack,317.0,value in Absolute Number,
2005,Brucellosis,Attack,13.0,value in Absolute Number,
2005,Coryza,Attack,6762.0,value in Absolute Number,
2005,Highly Pathogenic Avian Influenza,Attack,,value in Absolute Number,
2005,Avian Influenza,Attack,,value in Absolute Number,
2005,Equine Influenza,Attack,,value in Absolute Number,
2005,Glander Disease,Attack,,value in Absolute Number,
2005,Foot & Mouth Disease,Death,2797.0,value in Absolute Number,
2005,Haemorrhagic Septicaemia,Death,2229.0,value in Absolute Number,
2005,Black Quarter,Death,956.0,value in Absolute Number,
2005,Anthrax,Death,569.0,value in Absolute Number,
2005,Fascioliasis,Death,96.0,value in Absolute Number,
2005,Enterotoxaemia,Death,3158.0,value in Absolute Number,
2005,Sheep & Goat Pox,Death,2834.0,value in Absolute Number,
2005,Cow Pox,Death,,value in Absolute Number,
2005,Buffalo Pox,Death,,value in Absolute Number,
2005,Blue Tongue,Death,64086.0,value in Absolute Number,
2005,C.C.P.P.,Death,305.0,value in Absolute Number,
2005,Amphistomiasis,Death,,value in Absolute Number,
2005,Schistosomiasis,Death,,value in Absolute Number,
2005,Swine Fever,Death,2539.0,value in Absolute Number,
2005,Salmonellosis,Death,,value in Absolute Number,
2005,Coccidiosis,Death,4199.0,value in Absolute Number,
2005,Ranikhet (New Castle) Disease,Death,13125.0,value in Absolute Number,
2005,Fowl Pox,Death,3131.0,value in Absolute Number,
2005,Fowl Cholera,Death,2.0,value in Absolute Number,
2005,Mareks Disease,Death,,value in Absolute Number,
2005,I.B.D.,Death,11402.0,value in Absolute Number,
2005,Duck Plague,Death,168.0,value in Absolute Number,
2005,Chronic Respiratory Disease,Death,7980.0,value in Absolute Number,
2005,Canine Distemper,Death,,value in Absolute Number,
2005,Rabies,Death,84.0,value in Absolute Number,
2005,Babesiosis,Death,10.0,value in Absolute Number,
2005,Mastitis,Death,,value in Absolute Number,
2005,Trypanismiasis,Death,26.0,value in Absolute Number,
2005,Mange,Death,,value in Absolute Number,
2005,Peste Des Petits Ruminant,Death,15864.0,value in Absolute Number,
2005,Anaplasmosis,Death,1.0,value in Absolute Number,
2005,Brucellosis,Death,,value in Absolute Number,
2005,Coryza,Death,300.0,value in Absolute Number,
2005,Highly Pathogenic Avian Influenza,Death,,value in Absolute Number,
2005,Avian Influenza,Death,,value in Absolute Number,
2005,Equine Influenza,Death,,value in Absolute Number,
2005,Glander Disease,Death,,value in Absolute Number,
2006,Foot & Mouth Disease,Outbreak,1646.0,value in Absolute Number,
2006,Haemorrhagic Septicaemia,Outbreak,770.0,value in Absolute Number,
2006,Black Quarter,Outbreak,534.0,value in Absolute Number,
2006,Anthrax,Outbreak,113.0,value in Absolute Number,
2006,Fascioliasis,Outbreak,66.0,value in Absolute Number,
2006,Enterotoxaemia,Outbreak,461.0,value in Absolute Number,
2006,Sheep & Goat Pox,Outbreak,1389.0,value in Absolute Number,
2006,Cow Pox,Outbreak,1.0,value in Absolute Number,
2006,Buffalo Pox,Outbreak,17.0,value in Absolute Number,
2006,Blue Tongue,Outbreak,154.0,value in Absolute Number,
2006,C.C.P.P.,Outbreak,1.0,value in Absolute Number,
2006,Amphistomiasis,Outbreak,12.0,value in Absolute Number,
2006,Schistosomiasis,Outbreak,,value in Absolute Number,
2006,Swine Fever,Outbreak,40.0,value in Absolute Number,
2006,Salmonellosis,Outbreak,,value in Absolute Number,
2006,Coccidiosis,Outbreak,335.0,value in Absolute Number,
2006,Ranikhet (New Castle) Disease,Outbreak,391.0,value in Absolute Number,
2006,Fowl Pox,Outbreak,44.0,value in Absolute Number,
2006,Fowl Cholera,Outbreak,4.0,value in Absolute Number,
2006,Mareks Disease,Outbreak,6.0,value in Absolute Number,
2006,I.B.D.,Outbreak,260.0,value in Absolute Number,
2006,Duck Plague,Outbreak,34.0,value in Absolute Number,
2006,Chronic Respiratory Disease,Outbreak,122.0,value in Absolute Number,
2006,Canine Distemper,Outbreak,34.0,value in Absolute Number,
2006,Rabies,Outbreak,17.0,value in Absolute Number,
2006,Babesiosis,Outbreak,26.0,value in Absolute Number,
2006,Mastitis,Outbreak,35.0,value in Absolute Number,
2006,Trypanismiasis,Outbreak,26.0,value in Absolute Number,
2006,Mange,Outbreak,536.0,value in Absolute Number,
2006,Peste Des Petits Ruminant,Outbreak,577.0,value in Absolute Number,
2006,Anaplasmosis,Outbreak,14.0,value in Absolute Number,
2006,Brucellosis,Outbreak,6.0,value in Absolute Number,
2006,Coryza,Outbreak,2.0,value in Absolute Number,
2006,Highly Pathogenic Avian Influenza,Outbreak,2.0,value in Absolute Number,
2006,Avian Influenza,Outbreak,,value in Absolute Number,
2006,Equine Influenza,Outbreak,,value in Absolute Number,
2006,Glander Disease,Outbreak,2.0,value in Absolute Number,
2006,Foot & Mouth Disease,Attack,65073.0,value in Absolute Number,
2006,Haemorrhagic Septicaemia,Attack,5143.0,value in Absolute Number,
2006,Black Quarter,Attack,2261.0,value in Absolute Number,
2006,Anthrax,Attack,616.0,value in Absolute Number,
2006,Fascioliasis,Attack,527668.0,value in Absolute Number,
2006,Enterotoxaemia,Attack,3974.0,value in Absolute Number,
2006,Sheep & Goat Pox,Attack,19935.0,value in Absolute Number,
2006,Cow Pox,Attack,10.0,value in Absolute Number,
2006,Buffalo Pox,Attack,181.0,value in Absolute Number,
2006,Blue Tongue,Attack,4951.0,value in Absolute Number,
2006,C.C.P.P.,Attack,45.0,value in Absolute Number,
2006,Amphistomiasis,Attack,375.0,value in Absolute Number,
2006,Schistosomiasis,Attack,,value in Absolute Number,
2006,Swine Fever,Attack,4519.0,value in Absolute Number,
2006,Salmonellosis,Attack,,value in Absolute Number,
2006,Coccidiosis,Attack,23763.0,value in Absolute Number,
2006,Ranikhet (New Castle) Disease,Attack,36416.0,value in Absolute Number,
2006,Fowl Pox,Attack,1566.0,value in Absolute Number,
2006,Fowl Cholera,Attack,284.0,value in Absolute Number,
2006,Mareks Disease,Attack,925.0,value in Absolute Number,
2006,I.B.D.,Attack,20198.0,value in Absolute Number,
2006,Duck Plague,Attack,1177.0,value in Absolute Number,
2006,Chronic Respiratory Disease,Attack,21778.0,value in Absolute Number,
2006,Canine Distemper,Attack,825.0,value in Absolute Number,
2006,Rabies,Attack,43.0,value in Absolute Number,
2006,Babesiosis,Attack,1233.0,value in Absolute Number,
2006,Mastitis,Attack,11907.0,value in Absolute Number,
2006,Trypanismiasis,Attack,321.0,value in Absolute Number,
2006,Mange,Attack,7413.0,value in Absolute Number,
2006,Peste Des Petits Ruminant,Attack,28075.0,value in Absolute Number,
2006,Anaplasmosis,Attack,73.0,value in Absolute Number,
2006,Brucellosis,Attack,551.0,value in Absolute Number,
2006,Coryza,Attack,500.0,value in Absolute Number,
2006,Highly Pathogenic Avian Influenza,Attack,,value in Absolute Number,
2006,Avian Influenza,Attack,,value in Absolute Number,
2006,Equine Influenza,Attack,,value in Absolute Number,
2006,Glander Disease,Attack,23.0,value in Absolute Number,value: 1702 samples tested out of which 23 found positive and destroyed
2006,Foot & Mouth Disease,Death,428.0,value in Absolute Number,
2006,Haemorrhagic Septicaemia,Death,1983.0,value in Absolute Number,
2006,Black Quarter,Death,1062.0,value in Absolute Number,
2006,Anthrax,Death,453.0,value in Absolute Number,
2006,Fascioliasis,Death,22.0,value in Absolute Number,
2006,Enterotoxaemia,Death,1932.0,value in Absolute Number,
2006,Sheep & Goat Pox,Death,5357.0,value in Absolute Number,
2006,Cow Pox,Death,,value in Absolute Number,
2006,Buffalo Pox,Death,,value in Absolute Number,
2006,Blue Tongue,Death,651.0,value in Absolute Number,
2006,C.C.P.P.,Death,19.0,value in Absolute Number,
2006,Amphistomiasis,Death,54.0,value in Absolute Number,
2006,Schistosomiasis,Death,,value in Absolute Number,
2006,Swine Fever,Death,2327.0,value in Absolute Number,
2006,Salmonellosis,Death,,value in Absolute Number,
2006,Coccidiosis,Death,11763.0,value in Absolute Number,
2006,Ranikhet (New Castle) Disease,Death,10120.0,value in Absolute Number,
2006,Fowl Pox,Death,388.0,value in Absolute Number,
2006,Fowl Cholera,Death,152.0,value in Absolute Number,
2006,Mareks Disease,Death,925.0,value in Absolute Number,
2006,I.B.D.,Death,12117.0,value in Absolute Number,
2006,Duck Plague,Death,546.0,value in Absolute Number,
2006,Chronic Respiratory Disease,Death,20369.0,value in Absolute Number,
2006,Canine Distemper,Death,29.0,value in Absolute Number,
2006,Rabies,Death,43.0,value in Absolute Number,
2006,Babesiosis,Death,6.0,value in Absolute Number,
2006,Mastitis,Death,,value in Absolute Number,
2006,Trypanismiasis,Death,9.0,value in Absolute Number,
2006,Mange,Death,,value in Absolute Number,
2006,Peste Des Petits Ruminant,Death,7059.0,value in Absolute Number,
2006,Anaplasmosis,Death,1.0,value in Absolute Number,
2006,Brucellosis,Death,6.0,value in Absolute Number,
2006,Coryza,Death,13.0,value in Absolute Number,
2006,Highly Pathogenic Avian Influenza,Death,104834.0,value in Absolute Number,value: Figures pertains to number of poultry destroyed
2006,Avian Influenza,Death,,value in Absolute Number,
2006,Equine Influenza,Death,,value in Absolute Number,
2006,Glander Disease,Death,23.0,value in Absolute Number,value: Figures pertains to number of animals destroyed
2007,Foot & Mouth Disease,Outbreak,1547.0,value in Absolute Number,
2007,Haemorrhagic Septicaemia,Outbreak,470.0,value in Absolute Number,
2007,Black Quarter,Outbreak,467.0,value in Absolute Number,
2007,Anthrax,Outbreak,111.0,value in Absolute Number,
2007,Fascioliasis,Outbreak,85.0,value in Absolute Number,
2007,Enterotoxaemia,Outbreak,462.0,value in Absolute Number,
2007,Sheep & Goat Pox,Outbreak,777.0,value in Absolute Number,
2007,Cow Pox,Outbreak,2.0,value in Absolute Number,
2007,Buffalo Pox,Outbreak,9.0,value in Absolute Number,
2007,Blue Tongue,Outbreak,302.0,value in Absolute Number,
2007,C.C.P.P.,Outbreak,2.0,value in Absolute Number,
2007,Amphistomiasis,Outbreak,17.0,value in Absolute Number,
2007,Schistosomiasis,Outbreak,,value in Absolute Number,
2007,Swine Fever,Outbreak,93.0,value in Absolute Number,
2007,Salmonellosis,Outbreak,,value in Absolute Number,
2007,Coccidiosis,Outbreak,204.0,value in Absolute Number,
2007,Ranikhet (New Castle) Disease,Outbreak,280.0,value in Absolute Number,
2007,Fowl Pox,Outbreak,72.0,value in Absolute Number,
2007,Fowl Cholera,Outbreak,6.0,value in Absolute Number,
2007,Mareks Disease,Outbreak,,value in Absolute Number,
2007,I.B.D.,Outbreak,177.0,value in Absolute Number,
2007,Duck Plague,Outbreak,20.0,value in Absolute Number,
2007,Chronic Respiratory Disease,Outbreak,165.0,value in Absolute Number,
2007,Canine Distemper,Outbreak,94.0,value in Absolute Number,
2007,Rabies,Outbreak,43.0,value in Absolute Number,
2007,Babesiosis,Outbreak,45.0,value in Absolute Number,
2007,Mastitis,Outbreak,53.0,value in Absolute Number,
2007,Trypanismiasis,Outbreak,27.0,value in Absolute Number,
2007,Mange,Outbreak,290.0,value in Absolute Number,
2007,Peste Des Petits Ruminant,Outbreak,434.0,value in Absolute Number,
2007,Anaplasmosis,Outbreak,13.0,value in Absolute Number,
2007,Brucellosis,Outbreak,,value in Absolute Number,
2007,Coryza,Outbreak,5.0,value in Absolute Number,
2007,Highly Pathogenic Avian Influenza,Outbreak,2.0,value in Absolute Number,
2007,Avian Influenza,Outbreak,,value in Absolute Number,
2007,Equine Influenza,Outbreak,,value in Absolute Number,
2007,Glander Disease,Outbreak,,value in Absolute Number,
2007,Foot & Mouth Disease,Attack,51101.0,value in Absolute Number,
2007,Haemorrhagic Septicaemia,Attack,3563.0,value in Absolute Number,
2007,Black Quarter,Attack,2037.0,value in Absolute Number,
2007,Anthrax,Attack,490.0,value in Absolute Number,
2007,Fascioliasis,Attack,391632.0,value in Absolute Number,
2007,Enterotoxaemia,Attack,6782.0,value in Absolute Number,
2007,Sheep & Goat Pox,Attack,18261.0,value in Absolute Number,
2007,Cow Pox,Attack,3.0,value in Absolute Number,
2007,Buffalo Pox,Attack,34.0,value in Absolute Number,
2007,Blue Tongue,Attack,3856.0,value in Absolute Number,
2007,C.C.P.P.,Attack,163.0,value in Absolute Number,
2007,Amphistomiasis,Attack,772.0,value in Absolute Number,
2007,Schistosomiasis,Attack,,value in Absolute Number,
2007,Swine Fever,Attack,2996.0,value in Absolute Number,
2007,Salmonellosis,Attack,,value in Absolute Number,
2007,Coccidiosis,Attack,11407.0,value in Absolute Number,
2007,Ranikhet (New Castle) Disease,Attack,75726.0,value in Absolute Number,
2007,Fowl Pox,Attack,3787.0,value in Absolute Number,
2007,Fowl Cholera,Attack,307.0,value in Absolute Number,
2007,Mareks Disease,Attack,,value in Absolute Number,
2007,I.B.D.,Attack,28048.0,value in Absolute Number,
2007,Duck Plague,Attack,364.0,value in Absolute Number,
2007,Chronic Respiratory Disease,Attack,29046.0,value in Absolute Number,
2007,Canine Distemper,Attack,1282.0,value in Absolute Number,
2007,Rabies,Attack,301.0,value in Absolute Number,
2007,Babesiosis,Attack,1670.0,value in Absolute Number,
2007,Mastitis,Attack,10631.0,value in Absolute Number,
2007,Trypanismiasis,Attack,309.0,value in Absolute Number,
2007,Mange,Attack,4817.0,value in Absolute Number,
2007,Peste Des Petits Ruminant,Attack,18328.0,value in Absolute Number,
2007,Anaplasmosis,Attack,86.0,value in Absolute Number,
2007,Brucellosis,Attack,,value in Absolute Number,
2007,Coryza,Attack,10200.0,value in Absolute Number,
2007,Highly Pathogenic Avian Influenza,Attack,134.0,value in Absolute Number,
2007,Avian Influenza,Attack,,value in Absolute Number,
2007,Equine Influenza,Attack,,value in Absolute Number,
2007,Glander Disease,Attack,,value in Absolute Number,
2007,Foot & Mouth Disease,Death,1338.0,value in Absolute Number,
2007,Haemorrhagic Septicaemia,Death,1252.0,value in Absolute Number,
2007,Black Quarter,Death,768.0,value in Absolute Number,
2007,Anthrax,Death,452.0,value in Absolute Number,
2007,Fascioliasis,Death,29.0,value in Absolute Number,
2007,Enterotoxaemia,Death,1969.0,value in Absolute Number,
2007,Sheep & Goat Pox,Death,3681.0,value in Absolute Number,
2007,Cow Pox,Death,,value in Absolute Number,
2007,Buffalo Pox,Death,,value in Absolute Number,
2007,Blue Tongue,Death,545.0,value in Absolute Number,
2007,C.C.P.P.,Death,87.0,value in Absolute Number,
2007,Amphistomiasis,Death,4.0,value in Absolute Number,
2007,Schistosomiasis,Death,,value in Absolute Number,
2007,Swine Fever,Death,950.0,value in Absolute Number,
2007,Salmonellosis,Death,,value in Absolute Number,
2007,Coccidiosis,Death,4612.0,value in Absolute Number,
2007,Ranikhet (New Castle) Disease,Death,14423.0,value in Absolute Number,
2007,Fowl Pox,Death,388.0,value in Absolute Number,
2007,Fowl Cholera,Death,294.0,value in Absolute Number,
2007,Mareks Disease,Death,,value in Absolute Number,
2007,I.B.D.,Death,7292.0,value in Absolute Number,
2007,Duck Plague,Death,177.0,value in Absolute Number,
2007,Chronic Respiratory Disease,Death,16194.0,value in Absolute Number,
2007,Canine Distemper,Death,72.0,value in Absolute Number,
2007,Rabies,Death,301.0,value in Absolute Number,
2007,Babesiosis,Death,13.0,value in Absolute Number,
2007,Mastitis,Death,,value in Absolute Number,
2007,Trypanismiasis,Death,14.0,value in Absolute Number,
2007,Mange,Death,,value in Absolute Number,
2007,Peste Des Petits Ruminant,Death,4025.0,value in Absolute Number,
2007,Anaplasmosis,Death,,value in Absolute Number,
2007,Brucellosis,Death,,value in Absolute Number,
2007,Coryza,Death,18.0,value in Absolute Number,
2007,Highly Pathogenic Avian Influenza,Death,133.0,value in Absolute Number,
2007,Avian Influenza,Death,,value in Absolute Number,
2007,Equine Influenza,Death,,value in Absolute Number,
2007,Glander Disease,Death,,value in Absolute Number,
2008,Foot & Mouth Disease,Outbreak,449.0,value in Absolute Number,
2008,Haemorrhagic Septicaemia,Outbreak,359.0,value in Absolute Number,
2008,Black Quarter,Outbreak,294.0,value in Absolute Number,
2008,Anthrax,Outbreak,68.0,value in Absolute Number,
2008,Fascioliasis,Outbreak,84.0,value in Absolute Number,
2008,Enterotoxaemia,Outbreak,283.0,value in Absolute Number,
2008,Sheep & Goat Pox,Outbreak,63.0,value in Absolute Number,
2008,Cow Pox,Outbreak,3.0,value in Absolute Number,
2008,Buffalo Pox,Outbreak,,value in Absolute Number,
2008,Blue Tongue,Outbreak,132.0,value in Absolute Number,
2008,C.C.P.P.,Outbreak,3.0,value in Absolute Number,
2008,Amphistomiasis,Outbreak,49.0,value in Absolute Number,
2008,Schistosomiasis,Outbreak,1.0,value in Absolute Number,
2008,Swine Fever,Outbreak,95.0,value in Absolute Number,
2008,Salmonellosis,Outbreak,18.0,value in Absolute Number,
2008,Coccidiosis,Outbreak,203.0,value in Absolute Number,
2008,Ranikhet (New Castle) Disease,Outbreak,230.0,value in Absolute Number,
2008,Fowl Pox,Outbreak,90.0,value in Absolute Number,
2008,Fowl Cholera,Outbreak,8.0,value in Absolute Number,
2008,Mareks Disease,Outbreak,,value in Absolute Number,
2008,I.B.D.,Outbreak,93.0,value in Absolute Number,
2008,Duck Plague,Outbreak,5.0,value in Absolute Number,
2008,Chronic Respiratory Disease,Outbreak,97.0,value in Absolute Number,
2008,Canine Distemper,Outbreak,47.0,value in Absolute Number,
2008,Rabies,Outbreak,48.0,value in Absolute Number,
2008,Babesiosis,Outbreak,64.0,value in Absolute Number,
2008,Mastitis,Outbreak,26.0,value in Absolute Number,
2008,Trypanismiasis,Outbreak,6.0,value in Absolute Number,
2008,Mange,Outbreak,346.0,value in Absolute Number,
2008,Peste Des Petits Ruminant,Outbreak,165.0,value in Absolute Number,
2008,Anaplasmosis,Outbreak,,value in Absolute Number,
2008,Brucellosis,Outbreak,14.0,value in Absolute Number,
2008,Coryza,Outbreak,3.0,value in Absolute Number,
2008,Highly Pathogenic Avian Influenza,Outbreak,14.0,value in Absolute Number,
2008,Avian Influenza,Outbreak,60.0,value in Absolute Number,
2008,Equine Influenza,Outbreak,25.0,value in Absolute Number,
2008,Glander Disease,Outbreak,,value in Absolute Number,
2008,Foot & Mouth Disease,Attack,12753.0,value in Absolute Number,
2008,Haemorrhagic Septicaemia,Attack,2519.0,value in Absolute Number,
2008,Black Quarter,Attack,883.0,value in Absolute Number,
2008,Anthrax,Attack,916.0,value in Absolute Number,
2008,Fascioliasis,Attack,375347.0,value in Absolute Number,
2008,Enterotoxaemia,Attack,2970.0,value in Absolute Number,
2008,Sheep & Goat Pox,Attack,2279.0,value in Absolute Number,
2008,Cow Pox,Attack,22.0,value in Absolute Number,
2008,Buffalo Pox,Attack,,value in Absolute Number,
2008,Blue Tongue,Attack,2903.0,value in Absolute Number,
2008,C.C.P.P.,Attack,405.0,value in Absolute Number,
2008,Amphistomiasis,Attack,1393.0,value in Absolute Number,
2008,Schistosomiasis,Attack,1.0,value in Absolute Number,
2008,Swine Fever,Attack,2027.0,value in Absolute Number,
2008,Salmonellosis,Attack,2952.0,value in Absolute Number,
2008,Coccidiosis,Attack,16213.0,value in Absolute Number,
2008,Ranikhet (New Castle) Disease,Attack,72959.0,value in Absolute Number,
2008,Fowl Pox,Attack,6944.0,value in Absolute Number,
2008,Fowl Cholera,Attack,2727.0,value in Absolute Number,
2008,Mareks Disease,Attack,,value in Absolute Number,
2008,I.B.D.,Attack,17348.0,value in Absolute Number,
2008,Duck Plague,Attack,385.0,value in Absolute Number,
2008,Chronic Respiratory Disease,Attack,1024.0,value in Absolute Number,
2008,Canine Distemper,Attack,98.0,value in Absolute Number,
2008,Rabies,Attack,1781.0,value in Absolute Number,
2008,Babesiosis,Attack,7546.0,value in Absolute Number,
2008,Mastitis,Attack,1185.0,value in Absolute Number,
2008,Trypanismiasis,Attack,280.0,value in Absolute Number,
2008,Mange,Attack,6186.0,value in Absolute Number,
2008,Peste Des Petits Ruminant,Attack,4496.0,value in Absolute Number,
2008,Anaplasmosis,Attack,,value in Absolute Number,
2008,Brucellosis,Attack,97.0,value in Absolute Number,
2008,Coryza,Attack,61.0,value in Absolute Number,
2008,Highly Pathogenic Avian Influenza,Attack,5650.0,value in Absolute Number,
2008,Avian Influenza,Attack,130626.0,value in Absolute Number,
2008,Equine Influenza,Attack,19431.0,value in Absolute Number,
2008,Glander Disease,Attack,,value in Absolute Number,
2008,Foot & Mouth Disease,Death,278.0,value in Absolute Number,
2008,Haemorrhagic Septicaemia,Death,1082.0,value in Absolute Number,
2008,Black Quarter,Death,365.0,value in Absolute Number,
2008,Anthrax,Death,701.0,value in Absolute Number,
2008,Fascioliasis,Death,6.0,value in Absolute Number,
2008,Enterotoxaemia,Death,888.0,value in Absolute Number,
2008,Sheep & Goat Pox,Death,689.0,value in Absolute Number,
2008,Cow Pox,Death,,value in Absolute Number,
2008,Buffalo Pox,Death,,value in Absolute Number,
2008,Blue Tongue,Death,342.0,value in Absolute Number,
2008,C.C.P.P.,Death,40.0,value in Absolute Number,
2008,Amphistomiasis,Death,,value in Absolute Number,
2008,Schistosomiasis,Death,,value in Absolute Number,
2008,Swine Fever,Death,894.0,value in Absolute Number,
2008,Salmonellosis,Death,87.0,value in Absolute Number,
2008,Coccidiosis,Death,2859.0,value in Absolute Number,
2008,Ranikhet (New Castle) Disease,Death,10317.0,value in Absolute Number,
2008,Fowl Pox,Death,1122.0,value in Absolute Number,
2008,Fowl Cholera,Death,871.0,value in Absolute Number,
2008,Mareks Disease,Death,,value in Absolute Number,
2008,I.B.D.,Death,5605.0,value in Absolute Number,
2008,Duck Plague,Death,,value in Absolute Number,
2008,Chronic Respiratory Disease,Death,47.0,value in Absolute Number,
2008,Canine Distemper,Death,98.0,value in Absolute Number,
2008,Rabies,Death,33.0,value in Absolute Number,
2008,Babesiosis,Death,,value in Absolute Number,
2008,Mastitis,Death,108.0,value in Absolute Number,
2008,Trypanismiasis,Death,99.0,value in Absolute Number,
2008,Mange,Death,4.0,value in Absolute Number,
2008,Peste Des Petits Ruminant,Death,1092.0,value in Absolute Number,
2008,Anaplasmosis,Death,,value in Absolute Number,
2008,Brucellosis,Death,8.0,value in Absolute Number,
2008,Coryza,Death,7.0,value in Absolute Number,
2008,Highly Pathogenic Avian Influenza,Death,36.0,value in Absolute Number,
2008,Avian Influenza,Death,130619.0,value in Absolute Number,value: Figures pertains to number of poultry destroyed
2008,Equine Influenza,Death,16.0,value in Absolute Number,
2008,Glander Disease,Death,,value in Absolute Number,
2009,Foot & Mouth Disease,Outbreak,902.0,value in Absolute Number,
2009,Haemorrhagic Septicaemia,Outbreak,296.0,value in Absolute Number,
2009,Black Quarter,Outbreak,322.0,value in Absolute Number,
2009,Anthrax,Outbreak,60.0,value in Absolute Number,
2009,Fascioliasis,Outbreak,115.0,value in Absolute Number,
2009,Enterotoxaemia,Outbreak,153.0,value in Absolute Number,
2009,Sheep & Goat Pox,Outbreak,105.0,value in Absolute Number,
2009,Cow Pox,Outbreak,2.0,value in Absolute Number,
2009,Buffalo Pox,Outbreak,,value in Absolute Number,
2009,Blue Tongue,Outbreak,73.0,value in Absolute Number,
2009,C.C.P.P.,Outbreak,,value in Absolute Number,
2009,Amphistomiasis,Outbreak,150.0,value in Absolute Number,
2009,Schistosomiasis,Outbreak,1.0,value in Absolute Number,
2009,Swine Fever,Outbreak,136.0,value in Absolute Number,
2009,Salmonellosis,Outbreak,67.0,value in Absolute Number,
2009,Coccidiosis,Outbreak,383.0,value in Absolute Number,
2009,Ranikhet (New Castle) Disease,Outbreak,412.0,value in Absolute Number,
2009,Fowl Pox,Outbreak,122.0,value in Absolute Number,
2009,Fowl Cholera,Outbreak,26.0,value in Absolute Number,
2009,Mareks Disease,Outbreak,1.0,value in Absolute Number,
